window,electrode,term,beta,se,t,p,n_subjects,n_obs,random_effects,converged,llf,aic,bic
pre_cue,Oz,Intercept,1.4069555338696946,0.05074275075216066,27.727222371952024,3.2803427579680206e-169,70,5399,1 + f + f2,True,1641.0000177437796,-3252.000035487559,-3153.090500034285
pre_cue,Oz,group[T.experimental],-0.05987213428863233,0.06908949861580124,-0.8665880559008595,0.3861677601845819,70,5399,1 + f + f2,True,1641.0000177437796,-3252.000035487559,-3153.090500034285
pre_cue,Oz,half[T.second],0.034181205402626084,0.004707076243183532,7.261663851764667,3.8235745799372404e-13,70,5399,1 + f + f2,True,1641.0000177437796,-3252.000035487559,-3153.090500034285
pre_cue,Oz,f,-0.01429651556099311,0.011680125706983584,-1.224003569794217,0.2209508808724473,70,5399,1 + f + f2,True,1641.0000177437796,-3252.000035487559,-3153.090500034285
pre_cue,Oz,group[T.experimental]:f,-0.015559875960932773,0.016367728477282614,-0.9506435778507024,0.3417853390240053,70,5399,1 + f + f2,True,1641.0000177437796,-3252.000035487559,-3153.090500034285
pre_cue,Oz,f2,-0.0014775925287323658,0.03365518316268898,-0.043903862343868144,0.9649810365661929,70,5399,1 + f + f2,True,1641.0000177437796,-3252.000035487559,-3153.090500034285
pre_cue,Oz,group[T.experimental]:f2,0.049397968475715495,0.047514142811476826,1.0396476828323133,0.298503615095582,70,5399,1 + f + f2,True,1641.0000177437796,-3252.000035487559,-3153.090500034285
pre_cue,Oz,mean_trial_difficulty,0.05375224737750248,0.029727417150130234,1.808170790823884,0.07057992316572839,70,5399,1 + f + f2,True,1641.0000177437796,-3252.000035487559,-3153.090500034285
pre_cue,P1,Intercept,1.453138410250673,0.03565834441089443,40.75170718825371,0.0,70,5393,1 + f + f2,True,2609.1184361175874,-5188.236872235175,-5089.344015805116
pre_cue,P1,group[T.experimental],-0.03549996864963176,0.04804073015279563,-0.7389556431953171,0.45993393247004755,70,5393,1 + f + f2,True,2609.1184361175874,-5188.236872235175,-5089.344015805116
pre_cue,P1,half[T.second],0.013354761024015442,0.003948215538126265,3.3824802357049926,0.0007183444666183921,70,5393,1 + f + f2,True,2609.1184361175874,-5188.236872235175,-5089.344015805116
pre_cue,P1,f,-0.0075703398681206315,0.009375246172796038,-0.8074817160628095,0.4193890043324825,70,5393,1 + f + f2,True,2609.1184361175874,-5188.236872235175,-5089.344015805116
pre_cue,P1,group[T.experimental]:f,-0.017766567975815998,0.013173342350257803,-1.3486757956661093,0.17744112323827033,70,5393,1 + f + f2,True,2609.1184361175874,-5188.236872235175,-5089.344015805116
pre_cue,P1,f2,-0.01888006807230082,0.020408402241972087,-0.925112502607966,0.35490739025884566,70,5393,1 + f + f2,True,2609.1184361175874,-5188.236872235175,-5089.344015805116
